dateday,season,year,month,holiday,weekday,workingday,weather_condition,temperature,atemp,humidity,casual,registered,count,day_type,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment,temp_category,hum_category,rental_volume_category
2011-01-01,spring,0,january,0,saturday,0,mist,0.344167,0.363625,0.805833,331,654,985,weekend,730,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-01-02,spring,0,january,0,sunday,0,mist,0.363478,0.353739,0.696087,131,670,801,weekend,729,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-01-03,spring,0,january,0,monday,1,clear,0.196364,0.189405,0.437273,120,1229,1349,weekday,728,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-01-04,spring,0,january,0,tuesday,1,clear,0.2,0.212122,0.590435,108,1454,1562,weekday,727,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-01-05,spring,0,january,0,wednesday,1,clear,0.226957,0.22927,0.436957,82,1518,1600,weekday,726,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-01-06,spring,0,january,0,thursday,1,clear,0.204348,0.233209,0.518261,88,1518,1606,weekday,725,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-01-07,spring,0,january,0,friday,1,mist,0.196522,0.208839,0.498696,148,1362,1510,weekday,724,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-01-08,spring,0,january,0,saturday,0,mist,0.165,0.162254,0.535833,68,891,959,weekend,723,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-01-09,spring,0,january,0,sunday,0,clear,0.138333,0.116175,0.434167,54,768,822,weekend,722,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-01-10,spring,0,january,0,monday,1,clear,0.150833,0.150888,0.482917,41,1280,1321,weekday,721,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-01-11,spring,0,january,0,tuesday,1,mist,0.169091,0.191464,0.686364,43,1220,1263,weekday,720,1,1,1,111,Lost Days,Cold,High Humidity,Low Rentals
2011-01-12,spring,0,january,0,wednesday,1,clear,0.172727,0.160473,0.599545,25,1137,1162,weekday,719,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-01-13,spring,0,january,0,thursday,1,clear,0.165,0.150883,0.470417,38,1368,1406,weekday,718,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-01-14,spring,0,january,0,friday,1,clear,0.16087,0.188413,0.537826,54,1367,1421,weekday,717,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-01-15,spring,0,january,0,saturday,0,mist,0.233333,0.248112,0.49875,222,1026,1248,weekend,716,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-01-16,spring,0,january,0,sunday,0,clear,0.231667,0.234217,0.48375,251,953,1204,weekend,715,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-01-17,spring,0,january,1,monday,0,mist,0.175833,0.176771,0.5375,117,883,1000,weekday,714,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-01-18,spring,0,january,0,tuesday,1,mist,0.216667,0.232333,0.861667,9,674,683,weekday,713,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-01-19,spring,0,january,0,wednesday,1,mist,0.292174,0.298422,0.741739,78,1572,1650,weekday,712,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-01-20,spring,0,january,0,thursday,1,mist,0.261667,0.25505,0.538333,83,1844,1927,weekday,711,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-01-21,spring,0,january,0,friday,1,clear,0.1775,0.157833,0.457083,75,1468,1543,weekday,710,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-01-22,spring,0,january,0,saturday,0,clear,0.0591304,0.0790696,0.4,93,888,981,weekend,709,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-01-23,spring,0,january,0,sunday,0,clear,0.0965217,0.0988391,0.436522,150,836,986,weekend,708,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-01-24,spring,0,january,0,monday,1,clear,0.0973913,0.11793,0.491739,86,1330,1416,weekday,707,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-01-25,spring,0,january,0,tuesday,1,mist,0.223478,0.234526,0.616957,186,1799,1985,weekday,706,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-01-26,spring,0,january,0,wednesday,1,light rain,0.2175,0.2036,0.8625,34,472,506,weekday,705,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-01-27,spring,0,january,0,thursday,1,clear,0.195,0.2197,0.6875,15,416,431,weekday,704,1,1,1,111,Lost Days,Cold,High Humidity,Low Rentals
2011-01-28,spring,0,january,0,friday,1,mist,0.203478,0.223317,0.793043,38,1129,1167,weekday,703,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-01-29,spring,0,january,0,saturday,0,clear,0.196522,0.212126,0.651739,123,975,1098,weekend,702,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-01-30,spring,0,january,0,sunday,0,clear,0.216522,0.250322,0.722174,140,956,1096,weekend,701,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-01-31,spring,0,january,0,monday,1,mist,0.180833,0.18625,0.60375,42,1459,1501,weekday,700,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-02-01,spring,0,february,0,tuesday,1,mist,0.192174,0.23453,0.829565,47,1313,1360,weekday,699,1,1,1,111,Lost Days,Cold,High Humidity,Low Rentals
2011-02-02,spring,0,february,0,wednesday,1,mist,0.26,0.254417,0.775417,72,1454,1526,weekday,698,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-02-03,spring,0,february,0,thursday,1,clear,0.186957,0.177878,0.437826,61,1489,1550,weekday,697,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-02-04,spring,0,february,0,friday,1,mist,0.211304,0.228587,0.585217,88,1620,1708,weekday,696,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-02-05,spring,0,february,0,saturday,0,mist,0.233333,0.243058,0.929167,100,905,1005,weekend,695,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-02-06,spring,0,february,0,sunday,0,clear,0.285833,0.291671,0.568333,354,1269,1623,weekend,694,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-02-07,spring,0,february,0,monday,1,clear,0.271667,0.303658,0.738333,120,1592,1712,weekday,693,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-02-08,spring,0,february,0,tuesday,1,clear,0.220833,0.198246,0.537917,64,1466,1530,weekday,692,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-02-09,spring,0,february,0,wednesday,1,mist,0.134783,0.144283,0.494783,53,1552,1605,weekday,691,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-02-10,spring,0,february,0,thursday,1,clear,0.144348,0.149548,0.437391,47,1491,1538,weekday,690,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-02-11,spring,0,february,0,friday,1,clear,0.189091,0.213509,0.506364,149,1597,1746,weekday,689,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
2011-02-12,spring,0,february,0,saturday,0,clear,0.2225,0.232954,0.544167,288,1184,1472,weekend,688,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-02-13,spring,0,february,0,sunday,0,clear,0.316522,0.324113,0.457391,397,1192,1589,weekend,687,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-02-14,spring,0,february,0,monday,1,clear,0.415,0.39835,0.375833,208,1705,1913,weekday,686,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-02-15,spring,0,february,0,tuesday,1,clear,0.266087,0.254274,0.314348,140,1675,1815,weekday,685,1,1,1,111,Lost Days,Mild,Low Humidity,Low Rentals
2011-02-16,spring,0,february,0,wednesday,1,clear,0.318261,0.3162,0.423478,218,1897,2115,weekday,684,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-02-17,spring,0,february,0,thursday,1,clear,0.435833,0.428658,0.505,259,2216,2475,weekday,683,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-02-18,spring,0,february,0,friday,1,clear,0.521667,0.511983,0.516667,579,2348,2927,weekday,682,1,2,2,122,Lost Days,Warm,Medium Humidity,Low Rentals
2011-02-19,spring,0,february,0,saturday,0,clear,0.399167,0.391404,0.187917,532,1103,1635,weekend,681,1,1,1,111,Lost Days,Mild,Low Humidity,Low Rentals
2011-02-20,spring,0,february,0,sunday,0,clear,0.285217,0.27733,0.407826,639,1173,1812,weekend,680,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-02-21,spring,0,february,1,monday,0,mist,0.303333,0.284075,0.605,195,912,1107,weekday,679,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-02-22,spring,0,february,0,tuesday,1,clear,0.182222,0.186033,0.577778,74,1376,1450,weekday,678,1,1,1,111,Lost Days,Cold,Medium Humidity,Low Rentals
